User ID,Description,Student ID
1733,might double minor with finance,140964
1745,"Taking required units in IPS, but not yet sure.",144832
1746,Humanities Track (specialization),130520
1752,not sure pa depends after this sem and next sem if abot.,142179
1758,Social development track,144244
1776,Still undergoing minor,144722
1779,N/A,141179
1780,Will soon shift to Double Major CS - Digital Game Design and Development,130237
1794,Humanitarian Action,141691
1797,I am not sure if it\'s a minor or a spec,141554
1813,Also minoring in Project Management,133878
1814,Health and Development,130524
1820,"Graduated AB Economics 2017, if relevant",130308
1827,Minoring in Health and Development,142577
1829,Double Major: AB Economics-Honors (2017),132886
1830,Also minoring in AB POS (Global Politics),144664
1833,Minor in Management,140215
1844,Biomedical Sciences,143768
1852,Minor in Global Politics,143990
1863,AB Philosophy Major,134686
1870,Minor in Chinese STudies,143855
1874,*not yet sure,144906
1887,NA,144747
1912,Minor in Japanese Studies,134502
1916,Specialization in East and Southeast Asian Studies,140700
1917,none,142270
1936,Minor in International Business,132308
1991,Certification in French,144913
1997,pogi,142707
2001,~not yet done on minor~,143031
2018,Specialization - Enterprise Systems,130435
2035,Double Major in AB Economics,144363
2039,nonw,132657
2042,"Double Major in AB Economics (5th year-ing to finish but graduating my first major, BS MGT, this 2018)",144400
2048,"Double Major: BS ME &amp; AB EC; Quadruple Minor: Marketing, International Business, Data Science, and Japanese Studies",144163
2051,"Double Major, AB Chinese Studies (graduated 2016)",124509
2053,Minor in Data Science Analystics,142831
2067,Double major in AB Economics,134478
2069,My program is not listed. I graduated BS Chemistry this year (2017). My second degree is BS Applied Computer Systems.,134340
2073,Double Major in Economics-Honors,140207
2082,on second degree,133239
2083,Minor to be started 2nd sem of 4th year and continued until 5th year,141097
2088,Double Major in AB Communication but finishing 2nd major in 5th year,144754
2095,Not yet completed,141657
2099,"German, Korean, Economics, Theatre Arts (Acting Track)",113972
2101,"Double Major: Economics (Honors), AB",142536
2128,Lit Minor,131952
2145,Also a Minor in Global Politics for a total of TWO (2) minor degrees.,133357
2152,None,140312
2194,NA,144259
2195,"BS CH, 2016",120551
2199,None,142227
2204,NA,144617
2207,N/A,141699
2209,Tracks: Psychology and Communications,142516
2217,I have two tracks. (Business Management and Psychology).,142764
2220,N/A,144463
2231,Minor in Spanish,140691
2235,Philosophy - Minor,130108
2240,Major in Management and Psychology,133596
2241,Minor in Chinese Studies,141793
2252,Minor in Management,144871
2262,Also specializing in Data Science and Analytics,143155
2264,Double Minor in Music Literature and Literature,132075
2265,Double Major in AB Chinese Studies (Humanities Track),124703
2269,Minor in Creative Writing,132667
2271,B.S. Mathematics,143965
561,n/a,145164
2277,Double Minoring with International Business,144761
2284,None,130271
2290,"BS Management, minor in Marketing",131571
2298,Double Major CH and MSE,142978
2299,COM - MGT Track,134991
2314,Na,143465
2317,Double Major (graduating for BS CHEM this year),143384
2319,My tracks are Communication and Management Information Systems,144825
2328,Also have a minor in Hispanic Studies,134281
2335,"Data Science, Enterprise Systems",121593
2345,psy is my second major(graduated ab lit last year),134070
2348,Double Minoring in Development Management,123547
2361,Tracks in Lit(eng) and Comm,130182
2362,Double Major in BFA Information Design (Already graduated),123269
2363,Tracks in Lit(eng) and Comm,130182
2373,Double Majoring in AB Economics,144716
2377,Literature,133438
2378,Minor In Development Management,133029
2381,i also have a specialization in cultural heritage,140179
2385,None,144640
2389,Minor in Education,134692
2398,Minor in Economics,130024
